"interval","exposure_type","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"BL_to_F1","ipaq_direction","M3","smk_fctex_daily",0.386623030369199,0.0657736822758729,5.87808097390071,0.00000000415049892890585,1.47200148681277,1.29396219750575,1.67453761891632,10746,2656
"BL_to_F1","ipaq_direction","M3","smk_fctcurrent",0.630675090058984,0.0672445584675211,9.37882714128606,0.00000000000000000000667106447042674,1.87887856345465,1.64687273482176,2.1435685839996,10746,2656
"BL_to_F1","ipaq_direction","M3","drk1_fctlt1_month",-0.0446767889595917,0.0606658051564937,-0.736441045236988,0.461462333387694,0.95630652071353,0.849098923186816,1.0770501959028,10746,2656
"BL_to_F1","ipaq_direction","M3","drk1_fctlt1_week",-0.178007453401698,0.135465866272037,-1.3140391620442,0.188833025647307,0.836936185443935,0.641776175463652,1.09144310007986,10746,2656
"BL_to_F1","ipaq_direction","M3","drk1_fct1to4_week",-0.163206155174708,0.114564336858595,-1.4245808045496,0.154278412014567,0.849416058847265,0.678583236956007,1.0632559157579,10746,2656
"BL_to_F1","ipaq_direction","M3","drk1_fctge5_week",-0.0921830908184806,0.0790901859956349,-1.16554398827142,0.243798865337329,0.911938166753694,0.780986818582201,1.06484667883618,10746,2656
"BL_to_F1","ipaq_direction","M3","drk1_fctex_drinker",-0.197402703683761,0.120049924167189,-1.64433842880938,0.10010631561683,0.820860003396964,0.648757534044851,1.0386178345796,10746,2656
"BL_to_F1","ipaq_direction","M3","hyp_fctyes",0.229663491777848,0.0402964820253726,5.69934347204902,0.0000000120269694344943,1.25817655193028,1.1626290212059,1.36157639879422,10746,2656
"BL_to_F1","ipaq_direction","M3","diab_fctyes",0.540752232384018,0.0492807641398362,10.9728865171329,0.0000000000000000000000000005159837263101,1.71729818374385,1.559185718305,1.89144437206359,10746,2656
"BL_to_F1","ipaq_direction","M3","hxchd_fctyes",0.0327131583580172,0.0881012117835796,0.371313375783944,0.710404136532563,1.03325411642279,0.8693912336191,1.22800187972955,10746,2656
