"outcome","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"all_cause","S3_M3_ic5_hxht_hxdm","hxchd_fctyes",-0.0412314225475162,0.172005869695067,-0.239709392595796,0.810555552974577,0.959607029545878,0.684986100422816,1.34432749888715,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","hxstroke_fctyes",0.255043448979344,0.236144011286199,1.0800335252637,0.280127251413288,1.29051769133129,0.812377367638867,2.05007669832009,5112,908
"all_cause","S3_M3_ic5_hxht_hxdm","cancerhx_fctyes",0.84704037668422,0.206744854823974,4.0970324383908,4.18480279961568e-05,2.33273261536723,1.55554801884684,3.49821502703084,5112,908
"all_cause","S4_M3_ic5_marital_missingcat","ic5_per1lower",0.134679618638827,0.0260517052388589,5.16970453196813,2.34464398529985e-07,1.1441701548322,1.08721481948503,1.20410917856033,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","agec_5",0.507172772266624,0.0268423133480497,18.8945254341677,1.26520142092897e-79,1.66058968674426,1.57548443827651,1.75029218996159,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","sex_fctmale",0.649442490398925,0.1095417100455,5.92872331579602,3.05299006704428e-09,1.91447319424644,1.54456865536686,2.37296516328543,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","phase_fct2",NA,0,NA,NA,NA,NA,NA,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","phase_fct3",NA,0,NA,NA,NA,NA,NA,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","edu_fctjunior_college",0.118006068698345,0.218511777007505,0.540044432910778,0.589166390264033,1.12525094015514,0.733249579620829,1.72681950799724,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","edu_fctsenior_middle",0.123641464142384,0.190734589642057,0.648238289522718,0.516830840401213,1.1316100754685,0.778651686463289,1.64456249843646,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","edu_fctjunior_middle",0.190208645916461,0.187840139321158,1.01260916119346,0.31124688226135,1.20950192897082,0.836983215379309,1.74781870090569,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","edu_fctprimary",-0.00336541734334534,0.188708946973842,-0.017833904525003,0.985771357156922,0.996640239326138,0.688508126992406,1.44267253748047,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","edu_fctlt_primary",0.0550343305083026,0.213294530306604,0.258020355370541,0.796391197674604,1.05657688687446,0.695575814067623,1.60493607641278,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","incomeh_fct30000_band",0.0921341819191049,0.112379262795804,0.81985038544447,0.412301403579621,1.09651194428703,0.879743293700646,1.36669236648169,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","incomeh_fct20000_band",0.322065318231769,0.114006371481214,2.82497648199286,0.0047284086472192,1.37997491053454,1.10364345263281,1.72549454188481,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","incomeh_fct10000_band",0.320538698093,0.127250158045503,2.51896502932735,0.0117700345927625,1.37786982029054,1.07372399084778,1.76816878252713,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","incomeh_fct5000_band",0.242588420800238,0.201461182611062,1.2041447273174,0.228533644964957,1.27454394037637,0.858757895422686,1.89164171253476,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","incomeh_fctlt5000",-0.0977266322636445,0.244551644233805,-0.399615519126145,0.6894397242001,0.906896786192396,0.561558655939438,1.46460529475802,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","incomeh_fctnotknow",0.304176687986638,0.121442891416828,2.50468911303021,0.0122559066512437,1.35550853700662,1.06839016262149,1.71978688889218,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","marital5_fctseparate",0.555467731353382,0.275828829821687,2.01381317432435,0.0440291520240401,1.7427559357626,1.01496401534686,2.99241963824484,5138,914
"all_cause","S4_M3_ic5_marital_missingcat","marital5_fctwidow",0.0251081781272388,0.0970843180246361,0.258622387612254,0.795926607965855,1.02542604319359,0.847746532126094,1.24034546909036,5138,914
